timestamp,speed_mode,image_error,turn_out,enc_left,enc_right,enc_diff,gyro_z,r_patch,l_patch,r_lost,l_lost,white_mid,white_nums,r_local,l_local,r_ring_flag,l_ring_flag,angle_ring,speed_out_l,speed_out_r
21:27:52.806,0,7,0,-4,0,-4,249,0,0,0,0,114,84,0,0,0,0,1,0,0
21:27:52.806,0,7,0,-10,-10,0,254,0,0,0,0,112,86,0,0,0,0,2,0,0
21:27:53.324,0,5,0,-12,1,-13,5,0,0,0,0,116,88,0,0,0,0,2,0,0
21:27:53.842,0,3,0,-4,0,-4,2,0,0,0,0,116,92,0,0,0,0,2,0,0
21:28:13.253,0,2,0,210,220,-10,17,0,0,0,0,114,88,0,0,0,0,4,12411,10828
21:28:13.253,0,2,3,218,262,-44,13,0,0,0,0,114,88,0,0,0,0,4,12492,10198
21:28:13.253,0,2,3,218,262,-44,13,0,0,0,0,114,88,0,0,0,0,4,12492,10198
21:28:13.253,0,2,3,300,341,-41,16,0,0,0,0,114,88,0,0,0,0,4,11046,8663
21:28:13.253,0,2,1,329,375,-46,15,0,0,0,0,116,90,0,0,0,0,5,10399,7774
21:28:13.253,0,2,1,329,375,-46,15,0,0,0,0,116,90,0,0,0,0,5,10399,7774
21:28:13.253,0,2,1,329,375,-46,15,0,0,0,0,116,90,0,0,0,0,5,10881,7873
21:28:13.253,0,0,-16,247,262,-15,20,0,0,0,0,116,88,0,0,0,0,5,11942,9476
21:28:13.253,0,0,-16,247,262,-15,20,0,0,0,0,116,88,0,0,0,0,5,11942,9476
21:28:13.253,0,0,-16,247,262,-15,20,0,0,0,0,116,88,0,0,0,0,5,11470,8996
21:28:13.253,0,0,-16,323,367,-44,20,0,0,0,0,114,90,0,0,0,0,5,10566,7376
21:28:13.253,0,0,-16,323,367,-44,20,0,0,0,0,114,90,0,0,0,0,5,10566,7376
21:28:13.253,0,0,-16,323,367,-44,20,0,0,0,0,114,90,0,0,0,0,6,10177,5709
21:28:13.253,0,-1,-13,357,409,-52,8,0,0,0,0,114,88,0,0,0,0,6,9558,5714
21:28:13.254,0,-1,-13,357,409,-52,8,0,0,0,0,114,88,0,0,0,0,6,9558,5714
21:28:13.254,0,-1,-13,357,409,-52,8,0,0,0,0,114,88,0,0,0,0,6,9558,5714
